"IntentContract","IntentEmail","Manip01","Manip02","Manip03","PriceQuality","PsychOwn01","PsychOwn02","PsychOwn03","PsychOwn04","GWA01","GWA02","GWA03","GWA04","CFC01","CFC02","CFC03","CFC04","CFC05","CFC06","CFC07","CFC08","CFC09","CFC10","CFC11","CFC12","CFC13","CFC14","BVO01","BVO02","BVO03","BVO04","Secure01","Secure02","Secure03","Secure04","Privacy01","Privacy02","Privacy03","Privacy04","BikeOwn","BikeShare","BikeStolen","CarLicense","CarAccess","BikeFreq","BikePurpose","BikeDuration","TravelMode","Travel01","Travel02","Travel03","dGender","YrBirth","dIBA","SatFac","HrPWork","HrVWork","HrClass","HrStud","cLiving","cLocate","dPreMas","dSports","dFraternity","dAssoc","dAbroad","Control01","Control02","Control03","SurveyDifficult","SurveyMotive","SurveyLike","SurveyBoring","SurveyClear"
45,56,3,2,3,3.72727272727273,3,3,3,6,1,2,1,2,4,3,2,2,4,3,4,3,2,3,3,2,4,3,3,3,3,2,3,4,4,4,2,2,2,2,1,1,2,1,1,2,1,15,4,4,1,2,2,1999,1,64,8,1,10,10,1,1,2,1,1,2,2,3,2,2,2,1,1,1,1
68,72,1,2,2,4.125,2,3,2,6,2,2,3,3,4,2,4,1,4,3,3,2,2,4,3,2,4,2,3,4,4,3,2,4,3,2,4,3,4,4,1,2,1,1,1,2,1,15,2,-2,1,3,2,1998,1,70,8,0,6,15,1,1,2,2,1,2,2,2,2,2,2,2,1,2,1
20,10,2,2,2,0.838709677419355,6,6,6,7,1,2,2,3,2,2,4,4,4,2,3,3,2,4,4,4,3,2,4,4,4,4,4,4,2,1,4,3,4,4,1,2,2,1,1,2,3,30,2,5,1,3,1,1998,1,45,0,0,16,5,3,1,2,1,2,2,2,2,1,2,2,2,2,1,1
36,47,1,1,2,49.5,1,1,1,1,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,2,1,2,1,2,1,5,12,6,5,5,5,3,1999,2,100,59,59,59,59,4,2,2,1,1,1,1,5,4,2,1,2,1,2,1
30,0,2,2,3,0.523809523809524,2,2,2,6,1,3,1,3,3,4,1,2,4,3,5,4,2,2,2,1,5,3,4,5,4,3,3,4,1,1,3,4,4,4,1,2,2,1,1,3,1,10,2,5,1,3,2,1998,1,85,8,0,2,10,1,1,2,1,2,1,2,2,1,3,2,2,2,1,1
10,50,3,1,2,1,1,1,1,7,4,4,4,4,5,3,2,2,2,4,5,4,2,2,3,2,4,3,6,6,5,6,4,5,4,1,2,4,2,3,1,2,1,1,2,2,1,12,4,1,-4,-5,1,1995,1,65,12,0,6,6,4,1,2,1,1,2,2,3,1,2,2,1,1,2,1
40,41,2,2,2,1.45454545454545,1,1,1,7,2,2,3,3,2,2,2,3,4,3,4,4,2,2,2,3,4,3,5,4,5,4,4,4,4,3,3,2,2,3,1,2,1,2,1,2,1,15,2,1,-1,1,2,1998,1,84,24,0,12,10,3,2,2,1,2,2,2,2,1,2,2,1,1,2,1
60,100,3,2,2,0.268292682926829,1,1,1,7,2,3,1,4,4,4,2,2,4,3,4,3,2,4,2,3,4,4,5,5,5,5,1,5,3,1,4,4,4,4,1,2,2,1,1,2,1,15,2,4,-2,0,1,1998,1,68,6,0,8,1,3,4,2,1,2,2,2,3,2,2,2,1,1,2,1
40,72,1,2,3,2.9047619047619,3,3,3,7,2,2,1,1,4,3,3,4,3,1,3,3,3,4,4,3,2,1,5,4,6,5,2,4,4,2,1,1,1,1,1,2,2,1,1,2,1,10,4,-2,3,3,2,1999,2,72,16,0,5,20,2,1,2,1,2,1,1,1,1,3,2,2,2,1,1
35,60,3,1,1,1.47619047619048,2,2,2,6,2,3,3,3,4,3,2,2,4,4,4,4,2,2,2,3,4,4,5,5,5,5,3,4,3,4,4,4,4,4,1,1,2,1,1,2,1,30,2,3,-2,0,2,1999,1,71,5,0,5,15,3,1,2,1,2,1,2,3,1,3,2,1,1,1,1
0,0,1,1,1,1.64516129032258,1,1,1,7,4,4,4,1,4,4,1,1,5,2,4,3,2,1,1,4,4,5,6,5,6,6,2,5,5,3,2,4,2,2,1,2,1,2,2,3,2,0,2,-4,4,4,1,1995,1,90,20,0,15,10,2,1,2,1,2,2,2,1,2,2,2,1,2,1,1
35,43,2,1,3,3.27272727272727,2,2,2,6,2,2,2,3,4,3,5,4,2,2,2,4,2,1,2,2,4,4,2,5,4,3,2,4,4,4,4,2,3,4,1,2,2,1,2,5,1,5,2,1,2,1,2,1998,1,33,0,6,8,20,3,1,2,2,2,2,1,2,1,3,2,2,2,1,2
50,70,3,1,3,11.8333333333333,4,4,4,4,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,2,2,2,2,2,NA,NA,60,NA,5,5,5,1,1988,2,0,0,0,0,0,5,1,2,2,2,2,2,NA,NA,NA,2,2,2,2,2
18,4,2,1,3,1.90909090909091,2,2,2,6,2,2,1,3,3,2,2,2,4,4,4,3,2,4,2,3,3,2,3,3,3,2,5,5,5,2,4,4,4,4,1,2,2,1,2,3,1,10,4,2,-2,-2,2,1998,1,73,0,0,6,5,1,3,2,2,2,2,2,2,1,3,2,2,2,1,1
25,15,3,1,1,1.32258064516129,2,3,2,6,1,2,2,2,3,3,2,2,2,3,4,3,2,2,3,3,4,3,5,5,6,5,4,4,4,3,2,2,2,2,1,1,1,1,1,3,3,30,5,3,4,3,2,1999,1,80,8,0,13,21,3,4,2,1,2,2,2,3,1,3,2,1,1,2,1
40,5,1,2,1,1.96774193548387,1,2,2,6,2,3,2,2,3,3,4,4,2,2,1,2,2,4,4,2,2,2,5,5,5,4,3,4,2,1,3,4,3,2,1,1,2,1,2,2,1,15,2,3,-1,-3,1,1998,1,75,4,0,4,5,3,3,2,1,2,2,2,1,1,2,1,2,2,1,2
30,87,3,2,3,0.375,6,3,5,4,2,3,4,2,3,2,2,2,3,4,3,3,3,2,2,2,4,2,4,5,2,2,3,4,3,2,2,2,3,3,1,1,1,1,1,2,1,10,2,-2,5,3,2,1999,1,82,12,0,15,10,1,1,2,1,1,2,2,3,1,3,1,2,2,1,1
45,30,3,2,1,2.5625,2,2,2,6,2,2,3,2,4,2,2,3,3,3,4,3,2,3,2,3,4,3,4,4,4,4,4,4,3,2,2,3,2,2,1,2,2,1,1,4,4,10,2,4,4,4,2,1999,1,70,4,0,12,18,3,4,2,1,2,2,2,3,2,1,2,1,1,2,1
60,0,2,2,1,1.23809523809524,7,7,7,1,2,1,1,3,4,4,2,2,2,4,5,3,1,1,2,2,5,3,5,5,4,3,3,5,5,3,4,3,4,3,1,2,1,1,1,2,1,10,2,-4,0,5,2,1997,1,45,15,0,16,20,3,2,2,1,2,2,2,2,2,1,2,1,2,2,1
9,69,1,1,1,1.96153846153846,1,1,1,7,4,1,3,2,4,4,2,4,4,4,4,3,1,2,2,3,5,4,4,4,4,4,4,5,5,4,2,4,4,4,1,2,2,1,2,3,1,54,2,2,3,3,1,1998,2,84,0,28,30,60,2,2,2,1,2,1,1,1,1,1,1,2,1,1,2
20,61,3,2,2,1.64516129032258,4,3,5,2,2,3,3,2,4,3,3,4,2,2,3,2,2,2,3,3,2,4,5,4,4,4,2,4,2,1,3,2,2,3,2,1,1,2,2,3,1,10,2,2,4,2,1,1998,1,65,0,14,10,10,2,1,2,1,1,1,2,3,1,2,2,1,2,1,1
75,100,2,2,3,2.36363636363636,1,3,1,7,2,4,4,2,4,4,2,3,2,3,5,4,1,2,2,2,4,3,5,5,5,4,4,5,5,1,4,4,4,2,1,1,2,1,2,2,1,20,4,4,-3,-3,1,1999,1,76,0,0,14,25,1,4,2,1,1,2,2,2,2,3,2,1,1,2,1
